symbol,company
600000.SH,Shanghai Pudong Development Bank Co Ltd
600008.SH,Beijing Capital Co Ltd
600009.SH,Shanghai International Airport Co Ltd
600010.SH,Inner Mongolia Baotou Steel Union Co Ltd
600011.SH,Huaneng Power International Inc
600015.SH,Hua Xia Bank Co Ltd
600016.SH,China Minsheng Banking Corp Ltd
600018.SH,Shanghai International Port (Group) Co Ltd
600019.SH,Baoshan Iron &Steel Co Ltd
600021.SH,Shanghai Electric Power Co Ltd
600023.SH,Zhejiang Zheneng Electric Power Co.
600028.SH,China Petroleum & Chemical Corporation
600029.SH,China Southern Airlines Co Ltd
600030.SH,CITIC Securities Co Ltd
600031.SH,Sany Heavy Industry Co Ltd
600036.SH,China Merchants Bank Co Ltd
600038.SH,AVIC Helicopter Co.
600048.SH,Poly Real Estate Group Co Ltd
600050.SH,China United Network Communications Co Ltd
600061.SH,SDIC Capital Co.
600066.SH,Zhengzhou Yutong Bus Co Ltd
600068.SH,China Gezhouba Group Co Ltd
600074.SH,Jiangsu Protruly Vision Technology Group Co.
600085.SH,Beijing Tongrentang Co Ltd
600089.SH,TBEA Co Ltd
600100.SH,Tsinghua Tongfang Co Ltd
600104.SH,SAIC Motor Co Ltd
600109.SH,Sinolink Securities Co. Ltd.
600111.SH,China Northern Rare Earth (Group) High-Tech Co.
600115.SH,China Eastern Airlines Corp Ltd
600118.SH,China Spacesat Co Ltd
600153.SH,Xiamen C&D Inc
600157.SH,Wintime Energy Co Ltd
600170.SH,Shanghai Construction Co Ltd
600177.SH,Youngor Group Co Ltd
600188.SH,Yanzhou Coal Mining Co Ltd
600196.SH,Shanghai Fosun Pharmaceutical (Group) Co Ltd
600208.SH,Xinhu Zhongbao Co Ltd
600219.SH,Shandong Nanshan Aluminium Co.
600221.SH,Hainan Airlines Holding Co.
600233.SH,YTO Express Group Co.
600271.SH,Aisino Co.
600276.SH,Jiangsu Hengrui Medicine Co Ltd
600297.SH,China Grand Automotive Services Co.
600309.SH,Wanhua Chemical Group Co.
600332.SH,GUANGZHOU BAIYUNSHAN PHARMACEUTICAL HOLDINGS COMPANY LIMITED
600340.SH,China Fortune Land Development Co.
600352.SH,Zhejiang Longsheng Group Co Ltd
600362.SH,Jiangxi Copper Co Ltd
600369.SH,Southwest Securities Co Ltd
600372.SH,CHINA AVIONICS SYSTEMS CO.
600373.SH,Chinese Universe Publishing And Media Co Ltd
600376.SH,Beijing Capital Development Co.
600383.SH,Gemdale Corporation
600390.SH,Minmetals Capital Company Limited
600406.SH,NARI Technology Co.
600415.SH,Zhejiang China Commodities City Group Co Ltd
600436.SH,Zhangzhou Pientzehuang Pharmaceutical Co Ltd
600482.SH,China Shipbuilding Industry Group Power Co.
600485.SH,Beijing Xinwei Telecom Technology Group Co.
600489.SH,Zhongjin Gold Co Ltd
600498.SH,Fiberhome Telecommunication Technologies Co Ltd
600518.SH,Kangmei Pharmaceutical Co Ltd
600519.SH,Kweichow Moutai Co Ltd
600522.SH,Jiangsu Zhongtian Technologies Co Ltd
600535.SH,TASLY PHARMACEUTICAL GROUP CO.
600547.SH,Shandong Gold-Mining Co Ltd
600549.SH,Xiamen Tungsten Co Ltd
600570.SH,Hundsun Technologies Inc.
600583.SH,Offshore Oil Engineering Co Ltd
600585.SH,Anhui Conch Cement Co Ltd
600588.SH,Yonyou Network Technology Co.
600606.SH,Greenland Holdings Corporation Limited
600637.SH,Shanghai Oriental Pearl Media Co.
600649.SH,Shanghai Chengtou Holding Co.
600660.SH,Fuyao Glass Industry Group Co.
600663.SH,Shanghai Lujiazui Finance and Trade Zone Development Co Ltd
600674.SH,Sichuan Chuantou Energy Co Ltd
600682.SH,Nanjing Xinjiekou Department Store Co Ltd
600685.SH,CSSC OFFSHORE & MARINE ENGINEERING (GROUP) COMPANY LIMITED
600688.SH,Sinopec Shanghai Petrochemical Co Ltd
600690.SH,Qingdao Haier Co Ltd
600703.SH,Sanan Optoelectronics Co.
600704.SH,Zhejiang Material Industrial Zhongda Yuantong Group Co Ltd
600705.SH,AVIC CAPITAL CO.
600739.SH,Liaoning Cheng Da Co Ltd
600741.SH,HUAYU Automotive Systems Company Limited
600795.SH,GD Power Development Co Ltd
600804.SH,DR. PENG TELECOM&MEDIA GROUP CO.
600816.SH,Anxin Trust Co.
600820.SH,Shanghai Tunnel Engineering Co Ltd
600827.SH,Shanghai Bailian Group Co.
600837.SH,Haitong Securities Company Limited
600871.SH,Sinopec Oilfield Service Corporation
600886.SH,SDIC Power Holdings Co.
600887.SH,Inner Mongolia Yili Industrial Group Co Ltd
600893.SH,AVIC AVIATION ENGINE CORPORATION PLC.
600895.SH,Shanghai Zhangjiang Hi-tech Park Development Co Ltd
600900.SH,China Yangtze Power Co Ltd
600909.SH,HUAAN SECURITIES CO.
600919.SH,Bank of Jiangsu Co.
600926.SH,BANK OF HANGZHOU CO.
600958.SH,ORIENT SECURITIES COMPANY LIMITED
600959.SH,Jiangsu Broadcasting Cable Information Network Corporation Limited
600977.SH,CHINA FILM CO.
600999.SH,China Merchants Securities Co Ltd
601006.SH,Daqin Railway Co Ltd
601009.SH,Bank of Nanjing Co Ltd
601012.SH,Longi Green Energy Technology Co.
601018.SH,Ningbo Port Co Ltd
601021.SH,Spring Airlines Co.
601088.SH,China Shenhua Energy Co Ltd
601099.SH,The Pacific Securities Co.Ltd
601111.SH,Air China Ltd
601117.SH,China National Chemical Engineering Co Ltd
601118.SH,China Hainan Rubber Industry Group Co Ltd
601155.SH,Future Land Holdings Co.
601163.SH,TRIANGLE TYRE CO.
601166.SH,Industrial Bank
601169.SH,Bank of Beijing Co Ltd
601186.SH,China Railway Construction Co Ltd
601198.SH,DONGXING SECURITIES CO.
601211.SH,Guotai Junan Securities Co.
601212.SH,Baiyin Nonferrous Group Co.
601216.SH,Inner Mongolia Junzheng Energy & Chemical Group Co.
601225.SH,Shaanxi Coal Industry Company Limited
601228.SH,GUANGZHOU PORT COMPANY LIMITED
601229.SH,Bank of Shanghai Co.
601288.SH,Agricultural Bank of China Co Ltd
601318.SH,Ping An Insurance (Group) Company of China Ltd
601328.SH,Bank of Communications Co LTD
601333.SH,Guangshen Railway Company Limited
601336.SH,New China Life Insurance Co Ltd
601375.SH,CENTRAL CHINA SECURITIES CO.
601377.SH,Industrial Securities Co Ltd
601390.SH,China Railway Group Limited
601398.SH,Industrial and Commercial Bank of China Ltd
601555.SH,Soochow Securities Co Ltd
601600.SH,Aluminum Corporation of China Limited
601601.SH,China Pacific Insurance (Group) Co Ltd
601607.SH,Shanghai Pharmaceuticals Holding Co.
601608.SH,CITIC HEAVY INDUSTRIES CO.
601611.SH,China Nuclear Engineering Corporation Limited
601618.SH,Metallurgical Corporation of China Co Ltd
601628.SH,China Life Insurance Company Limited
601633.SH,Great Wall Motor Co Ltd
601668.SH,China State Construction Engineering Co Ltd
601669.SH,Power Construction Corporation of China
601688.SH,Huatai Securities Co Ltd
601718.SH,Jihua Group Co Ltd
601727.SH,Shanghai Electric Group Co Ltd
601766.SH,CRRC Corporation Limited
601788.SH,Everbright Securities Co Ltd
601800.SH,China Communications Construction Company Limited
601818.SH,China Everbright Bank Co Ltd
601857.SH,PetroChina Co Ltd
601866.SH,COSCO SHIPPING Development Co.
601872.SH,China Merchants Energy Shipping Co.
601877.SH,Zhejiang Chint Electrics Co Ltd
601878.SH,ZHESHANG SECURITIES CO.
601881.SH,China Galaxy Securities Co.
601888.SH,China International Travel Service Co Ltd
601898.SH,China Coal Energy Co Ltd
601899.SH,Zijin Mining Group Co Ltd
601901.SH,Founder Securities Co Ltd
601919.SH,COSCO SHIPPING Holdings Co.
601933.SH,Yonghui Superstores Co Ltd
601939.SH,China Construction Bank
601958.SH,Jinduicheng Molybdenum Co Ltd
601966.SH,Shandong Linglong Tyre Co.
601985.SH,China National Nuclear Power Co.
601988.SH,Bank of China Ltd
601989.SH,China Shipbuilding Industry Co Ltd
601991.SH,Datang International Power Generation Co.
601992.SH,BBMG Corporation
601997.SH,Bank of Guiyang Co.
601998.SH,China Citic Bank Corporation Limited
603160.SH,Shenzhen Huiding Technology Co.
603799.SH,ZHEJIANG HUAYOU COBALT CO.
603833.SH,Oppein Home Group Inc.
603858.SH,SHANDONG BUCHANG PHARMACEUTICALS CO.
603993.SH,China Molybdenum Co.
000001.SZ,Ping An Bank Co.
000002.SZ,China Vanke Co Ltd
000008.SZ,China High-Speed Railway Technology Co.
000060.SZ,Shenzhen Zhongjin Lingnan Nonfemet Co Ltd
000063.SZ,ZTE Corporation
000069.SZ,Shenzhen Overseas Chinese Town Co Ltd
000100.SZ,TCL Corporation
000157.SZ,Zoomlion Heavy Industry Science & Technology Co Ltd
000166.SZ,Shenwan Hongyuan Group CO.
000333.SZ,Midea Group CO.
000338.SZ,Wei Chai Power Co Ltd
000402.SZ,Financial Street Holding Co Ltd
000413.SZ,Dongxu Optoelectronic Technology Co.
000415.SZ,Bohai Financial Investment Holding Co.
000423.SZ,Shandong Dong-Ee Jiao Co Ltd
000425.SZ,XCMG Construction Machinery Co Ltd
000503.SZ,Searainbow Holding Corp
000538.SZ,Yunnan Baiyao Group Co.
000540.SZ,Zhongtian Financial Group Company Limited
000559.SZ,Wanxiang Qianchao Co Ltd
000568.SZ,Luzhou Lao Jiao Co Ltd
000623.SZ,Jilin Aodong Pharmaceutical Group Co.
000625.SZ,Chongqing Changan Automobile Co Ltd
000627.SZ,Hubei Biocause Pharmaceutical Co Ltd
000630.SZ,Tongling Nonferrous Metals Group Co. Ltd
000651.SZ,Gree Electric Appliances
000671.SZ,Sunshine City Group Co.
000686.SZ,Northeast Securities Co Ltd
000709.SZ,HESTEEL COMPANY LIMITED
000723.SZ,Shanxi Meijin Energy Co.
000725.SZ,BOE Technology Group Co Ltd
000728.SZ,Guoyuan Securities Company Limited
000738.SZ,AECC AERO-ENGINE CONTROL CO.
000750.SZ,Sealand Securities Co.
000768.SZ,Avic Aircraft Co.
000776.SZ,GF Securities Co.
000783.SZ,Changjiang Securities Company Limited
000792.SZ,Qinghai Salt Lake Industry Co Ltd
000826.SZ,TUS-SOUND ENVIRONMENTAL RESOURCES CO.
000839.SZ,CITIC Guoan Information Industry Co Ltd
000858.SZ,Wuliangye Yibin Co Ltd
000876.SZ,NEW HOPE LIUHE CO.
000895.SZ,Henan Shuanghui Investment & Development Co Ltd
000898.SZ,Angang Steel Co Ltd
000938.SZ,Unisplendour Co.
000959.SZ,Beijing Shougang Co Ltd
000961.SZ,Jiangsu Zhongnan Construction Group Co.
000963.SZ,Huadong Medicine Co Ltd
000983.SZ,Shanxi Xishan Coal And Electricity Power Co Ltd
001979.SZ,CHINA MERCHANTS SHEKOU INDUSTRIAL ZONE HOLDINGS CO.
002007.SZ,Hualan Biological Engineering INC
002008.SZ,Han's Laser Technology Industry Group Co.
002024.SZ,SUNING.COM CO.
002027.SZ,Focus Media Information Technology Co.
002044.SZ,Meinian Onehealth Healthcare Holdings Co.
002065.SZ,DHC Software Co.
002074.SZ,GUOXUAN HIGH-TECH CO.
002081.SZ,Suzhou Gold Mantis Construction Decoration Co Ltd
002142.SZ,Bank of Ningbo Co Ltd
002146.SZ,Risesun Real Estate Development Co Ltd
002153.SZ,Beijing Shiji Information Technology Co Ltd
002174.SZ,YOUZU Interactive CO.
002202.SZ,Xinjiang Goldwind Science & Technology Co Ltd
002230.SZ,Iflytek Co.
002236.SZ,Zhejiang Dahua Technology Co Ltd
002241.SZ,GoerTek Inc
002252.SZ,Shanghai RAAS Blood Products Co Ltd
002292.SZ,Alpha Group
002294.SZ,Shenzhen Salubris Pharmaceuticals Co Ltd
002304.SZ,Jiangsu Yanghe Brewery Joint-Stock Co Ltd
002310.SZ,Beijing Orient Landscape Co Ltd
002352.SZ,S.F. Holding Co.
002385.SZ,Beijing Dabeinong Technology Group Co Ltd
002411.SZ,JiangSu Bicon Pharmaceutical Listed Company
002415.SZ,Hangzhou Hikvision Digital Technology Co Ltd
002424.SZ,Guizhou Bailing Group Pharmaceutical Co Ltd
002426.SZ,Suzhou Victory Precision Manufacture Co Ltd
002450.SZ,Kangde Xin Composite Material Group Co.
002456.SZ,O-film Tech Co.
002460.SZ,Ganfeng Lithium Co Ltd
002465.SZ,Guangzhou Haige Communications Group Incorporated Company
002466.SZ,Tianqi Lithium Industries
002468.SZ,STO Express Co.
002470.SZ,Kingenta Ecological Engineering Group Co.
002475.SZ,Luxshare Precision Industry Co.
002500.SZ,Shanxi Securities Co Ltd
002508.SZ,Hangzhou Robam Appliances Co Ltd
002555.SZ,Wuhu Shunrong Sanqi Interactive Entertainment Network Technology Co.
002558.SZ,Giant Network Group Co.
002572.SZ,Suofeiya Home Collection Co Ltd
002594.SZ,BYD Co Ltd
002601.SZ,Lomon Billions Group Co.
002602.SZ,ZHEJIANG CENTURY HUATONG GROUP CO.
002608.SZ,Jiangsu Guoxin Corporation Limited
002624.SZ,Perfect World Co.
002673.SZ,WESTERN SECURITIES CO.
002714.SZ,Muyuan Foodstuff Co.
002736.SZ,GUOSEN SECURITIES CO.
002739.SZ,WANDA FILM HOLDING CO.
002797.SZ,First Capital Securities Co.
002831.SZ,ShenZhen YUTO Packaging Technology Co.
002839.SZ,Jiangsu Zhangjiagang Rural Commercial Bank Co.
002841.SZ,Guangzhou Shiyuan Electronic Technology Company Limited
300003.SZ,Lepu Medical Technology (Beijing) Co Ltd
300015.SZ,Aier Eye Hospital Group Co Ltd
300017.SZ,Wangsu Science and Technology Co.
300024.SZ,Siasun Robot & Automation Co Ltd
300027.SZ,Huayi Brothers Media Co Ltd
300033.SZ,Hithink Royalflush Information Network Co.
300059.SZ,East Money Information Co Ltd
300070.SZ,Beijing Originwater Technology Co Ltd
300072.SZ,Beijing SJ Environmental Protection and New Material Co Ltd
300122.SZ,Chongqing Zhifei Biological Products Co Ltd
300124.SZ,Shenzhen Inovance Technology Co Ltd
300136.SZ,Shenzhen Sunway Communication Co Ltd
300144.SZ,SONGCHENG PERFORMANCE DEVELOPMENT CO.
300251.SZ,Beijing Enlight Media Co Ltd
300315.SZ,OURPALM CO.
